teamid,teamname
0,FaZe
1,Vitality
2,Spirit
3,Virtus.pro
4,BIG
5,Monte
6,Natus Vincere
7,ENCE
8,Complexity
9,FURIA
10,Cloud9
11,Preasy
12,G2
13,MIBR
14,Astralis
15,Apeks
16,Eternal Fire
17,9 Pandas
18,Falcons
19,Heroic
20,BetBoom
21,Lynn Vision
22,GamerLegion
23,TheMongolz
24,M80
25,Ninjas in Pyjamas
26,BESTIA
27,ECLOT
28,Imperial
29,Sampi
30,Into the Breach
31,SINNERS
32,Liquid
33,ALTERNATE aTTaX
34,Fluxo
35,Guild Eagles
36,EYEBALLERS
37,SAW
38,fnatic
39,RED Canids
40,NAVI Javelins
41,9z
42,Sharks
43,Alliance
44,Endpoint
45,BOSS
46,Party Astronauts
47,3DMAX
48,PERA
49,Betera
50,Grayhound
51,HAVU
52,Nouns
53,UNITY
54,OG
55,BIG Academy
56,Rooster
57,Fluxo Demons
58,Sashi
59,TSM
60,W7M
61,MOUZ NXT
62,True Rippers
63,ATOX
64,sYnck
65,ARCRED
66,ODDIK
67,Rebels
68,GUN5
69,Solid
70,Newhappy
71,Zero Tenacity
72,FTW
73,Entropiq
74,FURIA fe
75,RAPTORS EC
76,Rhyno
77,Space
78,PGE Turow
79,777
80,Illuminar
81,Monte Gen
82,Eternal Fire Academy
83,VP.Prodigy
84,NKT
85,Spirit Academy
86,Astralis Talent
87,Nexus
88,Permitta
89,Unjustified
90,RUSH B
91,Verdant
92,FLUFFY AIMERS
93,NightRaid
94,BIG EQUIPA
95,sEight
96,Take Flyte
97,Galorys
98,Vantage
99,MIBR Academy
100,Espionage
101,Gameinside
102,VELOX
103,NOM
104,ENCE Academy
105,B8
106,-72C
107,FORZE Youngsters
108,Mythic
109,ESCA
110,GenOne
111,Reason
112,Karma
113,CEPTER
114,The Huns
115,The Chosen Few
116,LAG
117,NCTDK
118,Incheon On Sla2ers
119,Kappa Bar
120,Invictum
121,Wildcard
122,Forward
123,GL Prism
124,1WIN Academy
125,PARIVISION
126,1WIN Gang
127,Purple Haze
128,Lilmix
129,Coalesce
130,VP.Angels
131,ENCE Athena
132,GUILD fe
133,15 Average
134,Agency
135,LYG
136,Aurora Young Blud
137,DUSTY
138,OVERFRAG
139,Astralis W
140,CYBER
141,WAP
142,The Last Resort
143,paiN
144,AMKAL
155,LEGACY
156,KOI
157,ECSTATIC